# Matter power spectrum P(k) at redshift z=0
# for k=2.08411e-07 to 10.7451 h/Mpc,
# number of wavenumbers equal to 6840
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.042953546648e-04       8.556714136494e+02 
       2.051511200846e-04       8.591263849329e+02 
       2.060085858273e-04       8.625876399042e+02 
       2.068677613593e-04       8.660552151045e+02 
       2.077286561901e-04       8.695291472204e+02 
       2.085912798726e-04       8.730094730846e+02 
       2.094556420032e-04       8.764962296771e+02 
       2.103217522223e-04       8.799894541256e+02 
       2.111896202143e-04       8.834891837072e+02 
       2.120592557082e-04       8.869954558485e+02 
       2.129306684773e-04       8.905083081270e+02 
       2.138038683401e-04       8.940277782720e+02 
       2.146788651600e-04       8.975539041654e+02 
       2.155556688460e-04       9.010867238427e+02 
       2.164342893527e-04       9.046262754941e+02 
       2.173147366804e-04       9.081725974649e+02 
       2.181970208761e-04       9.117257282569e+02 
       2.190811520326e-04       9.152857065295e+02 
       2.199671402900e-04       9.188525710998e+02 
       2.208549958350e-04       9.224263609446e+02 
       2.217447289016e-04       9.260071152005e+02 
       2.226363497714e-04       9.295948731653e+02 
       2.235298687737e-04       9.331896742985e+02 
       2.244252962858e-04       9.367915582228e+02 
       2.253226427333e-04       9.404005647247e+02 
       2.262219185906e-04       9.440167337554e+02 
       2.271231343805e-04       9.476401054317e+02 
       2.280263006753e-04       9.512707200373e+02 
       2.289314280965e-04       9.549086180234e+02 
       2.298385273151e-04       9.585538400096e+02 
       2.307476090524e-04       9.622064267851e+02 
       2.316586840795e-04       9.658664193095e+02 
       2.325717632181e-04       9.695338587135e+02 
       2.334868573409e-04       9.732087863006e+02 
       2.344039773711e-04       9.768912435469e+02 
       2.353231342836e-04       9.805812721030e+02 
       2.362443391047e-04       9.842789137945e+02 
       2.371676029125e-04       9.879842106231e+02 
       2.380929368373e-04       9.916972047674e+02 
       2.390203520617e-04       9.954179385839e+02 
       2.399498598211e-04       9.991464546078e+02 
       2.408814714038e-04       1.002882795554e+03 
       2.418151981511e-04       1.006627004319e+03 
       2.427510514583e-04       1.010379123980e+03 
       2.436890427739e-04       1.014139197797e+03 
       2.446291836009e-04       1.017907269213e+03 
       2.455714854965e-04       1.021683381857e+03 
       2.465159600725e-04       1.025467579542e+03 
       2.474626189957e-04       1.029259906267e+03 
       2.484114739880e-04       1.033060406220e+03 
       2.493625368268e-04       1.036869123776e+03 
       2.503158193453e-04       1.040686103498e+03 
       2.512713334327e-04       1.044511390142e+03 
       2.522290910346e-04       1.048345028652e+03 
       2.531891041533e-04       1.052187064166e+03 
       2.541513848476e-04       1.056037542013e+03 
       2.551159452340e-04       1.059896507718e+03 
       2.560827974862e-04       1.063764006998e+03 
       2.570519538356e-04       1.067640085768e+03 
       2.580234265718e-04       1.071524790137e+03 
       2.589972280427e-04       1.075418166415e+03 
       2.599733706547e-04       1.079320261106e+03 
       2.609518668734e-04       1.083231120917e+03 
       2.619327292231e-04       1.087150792753e+03 
       2.629159702882e-04       1.091079323721e+03 
       2.639016027122e-04       1.095016761128e+03 
       2.648896391993e-04       1.098963152488e+03 
       2.658800925136e-04       1.102918545515e+03 
       2.668729754800e-04       1.106882988129e+03 
       2.678683009843e-04       1.110856528455e+03 
       2.688660819735e-04       1.114839214826e+03 
       2.698663314561e-04       1.118831095781e+03 
       2.708690625024e-04       1.122832220068e+03 
       2.718742882448e-04       1.126842636643e+03 
       2.728820218779e-04       1.130862394673e+03 
       2.738922766592e-04       1.134891543536e+03 
       2.749050659089e-04       1.138930132821e+03 
       2.759204030106e-04       1.142978212331e+03 
       2.769383014113e-04       1.147035832080e+03 
       2.779587746219e-04       1.151103042299e+03 
       2.789818362172e-04       1.155179893432e+03 
       2.800074998366e-04       1.159266436142e+03 
       2.810357791839e-04       1.163362721306e+03 
       2.820666880281e-04       1.167468800020e+03 
       2.831002402034e-04       1.171584723598e+03 
       2.841364496092e-04       1.175710543575e+03 
       2.851753302110e-04       1.179846311705e+03 
       2.862168960404e-04       1.183992079963e+03 
       2.872611611952e-04       1.188147900546e+03 
       2.883081398398e-04       1.192313825875e+03 
       2.893578462058e-04       1.196489908592e+03 
       2.904102945918e-04       1.200676201566e+03 
       2.914654993638e-04       1.204872757890e+03 
       2.925234749558e-04       1.209079630883e+03 
       2.935842358698e-04       1.213296874090e+03 
       2.946477966759e-04       1.217524541285e+03 
       2.957141720132e-04       1.221762686468e+03 
       2.967833765892e-04       1.226011363871e+03 
       2.978554251810e-04       1.230270627954e+03 
       2.989303326349e-04       1.234540533407e+03 
       3.000081138669e-04       1.238821135153e+03 
       3.010887838631e-04       1.243112488345e+03 
       3.021723576796e-04       1.247414648371e+03 
       3.032588504433e-04       1.251727670850e+03 
       3.043482773518e-04       1.256051611638e+03 
       3.054406536736e-04       1.260386526823e+03 
       3.065359947486e-04       1.264732472730e+03 
       3.076343159884e-04       1.269089505920e+03 
       3.087356328764e-04       1.273457683192e+03 
       3.098399609679e-04       1.277837061580e+03 
       3.109473158908e-04       1.282227698360e+03 
       3.120577133456e-04       1.286629651043e+03 
       3.131711691056e-04       1.291042977381e+03 
       3.142876990173e-04       1.295467735368e+03 
       3.154073190004e-04       1.299903983236e+03 
       3.165300450486e-04       1.304351779459e+03 
       3.176558932291e-04       1.308811182755e+03 
       3.187848796836e-04       1.313282252082e+03 
       3.199170206278e-04       1.317765046642e+03 
       3.210523323524e-04       1.322259625880e+03 
       3.221908312227e-04       1.326766049488e+03 
       3.233325336793e-04       1.331284377399e+03 
       3.244774562378e-04       1.335814669793e+03 
       3.256256154899e-04       1.340356987096e+03 
       3.267770281026e-04       1.344911389980e+03 
       3.279317108192e-04       1.349477939364e+03 
       3.290896804593e-04       1.354056696414e+03 
       3.302509539188e-04       1.358647722542e+03 
       3.314155481705e-04       1.363251079411e+03 
       3.325834802640e-04       1.367866828931e+03 
       3.337547673260e-04       1.372495033261e+03 
       3.349294265607e-04       1.377135754809e+03 
       3.361074752497e-04       1.381789056233e+03 
       3.372889307526e-04       1.386455000442e+03 
       3.384738105068e-04       1.391133650593e+03 
       3.396621320279e-04       1.395825070097e+03 
       3.408539129098e-04       1.400529322614e+03 
       3.420491708250e-04       1.405246472054e+03 
       3.432479235250e-04       1.409976582582e+03 
       3.444501888398e-04       1.414719718612e+03 
       3.456559846789e-04       1.419475944812e+03 
       3.468653290309e-04       1.424245326101e+03 
       3.480782399640e-04       1.429027927652e+03 
       3.492947356258e-04       1.433823814889e+03 
       3.505148342440e-04       1.438633053489e+03 
       3.517385541262e-04       1.443455709385e+03 
       3.529659136600e-04       1.448291848758e+03 
       3.541969313134e-04       1.453141538048e+03 
       3.554316256349e-04       1.458004843944e+03 
       3.566700152535e-04       1.462881833390e+03 
       3.579121188789e-04       1.467772573583e+03 
       3.591579553016e-04       1.472677131974e+03 
       3.604075433934e-04       1.477595576268e+03 
       3.616609021069e-04       1.482527974422e+03 
       3.629180504761e-04       1.487474394647e+03 
       3.641790076162e-04       1.492434905408e+03 
       3.654437927241e-04       1.497409575422e+03 
       3.667124250782e-04       1.502398473660e+03 
       3.679849240384e-04       1.507401669344e+03 
       3.692613090466e-04       1.512419231952e+03 
       3.705415996265e-04       1.517451231213e+03 
       3.718258153838e-04       1.522497737107e+03 
       3.731139760059e-04       1.527558819868e+03 
       3.744061012628e-04       1.532634549980e+03 
       3.757022110063e-04       1.537724998180e+03 
       3.770023251706e-04       1.542830235457e+03 
       3.783064637720e-04       1.547950333047e+03 
       3.796146469094e-04       1.553085362440e+03 
       3.809268947638e-04       1.558235395375e+03 
       3.822432275988e-04       1.563400503840e+03 
       3.835636657603e-04       1.568580760072e+03 
       3.848882296767e-04       1.573776236557e+03 
       3.862169398588e-04       1.578987006028e+03 
